,0.0,1.0
Academic_Level,2.454080389768575,2.4218600191754556
Credits_Completed,53.30986601705238,52.076701821668266
Prior_Term_GPA,2.766163215590743,2.670556088207095
GPA_Change,0.026864799025578562,-0.11313518696069032
Course_Pass_Rate_Last_2_Terms,0.8420436053593179,0.802575263662512
Failed_Courses_Last_2_Terms,0.397320341047503,0.5953978906999041
Withdrawals_Last_2_Terms,0.2930572472594397,0.41418983700862894
Current_Course_Load_Credits,14.204141291108405,14.370086289549377
LMS_Login_Days_4wk,4.067013398294763,3.678772770853308
Assignment_Submission_Rate_4wk,0.8814457978075517,0.8415781399808245
Late_Assignment_Rate_4wk,0.1735807551766139,0.21093767976989455
Average_Assignment_Score_4wk,78.572496954933,75.49443911792905
Days_Since_Last_LMS_Activity,2.184409257003654,2.819750719079578
