Student_ID,Term_ID,Course_ID,Credits,Final_Grade,Passed,Withdrawn
Student_0001,T1_Fall,Program_C_C01,3,W,0,1
Student_0001,T2_Spring,Program_C_C01,3,C,1,0
Student_0001,T1_Fall,Program_C_C02,3,C,1,0
Student_0001,T1_Fall,Program_C_C03,3,F,0,0
Student_0001,T2_Spring,Program_C_C03,3,F,0,0
Student_0001,T1_Fall,Program_C_C04,4,C,1,0
Student_0002,T1_Fall,Program_B_C01,3,W,0,1
Student_0002,T2_Spring,Program_B_C01,3,F,0,0
Student_0002,T1_Fall,Program_B_C02,3,F,0,0
Student_0002,T2_Spring,Program_B_C02,3,F,0,0
Student_0003,T1_Fall,Program_B_C01,3,C,1,0
Student_0003,T1_Fall,Program_B_C02,3,F,0,0
Student_0003,T1_Fall,Program_B_C03,3,D,1,0
Student_0003,T1_Fall,Program_B_C06,3,F,0,0
Student_0003,T2_Spring,Program_B_C06,3,C,1,0
Student_0003,T2_Spring,Program_B_C07,3,B,1,0
Student_0003,T2_Spring,Program_B_C10,3,C,1,0
Student_0003,T2_Spring,Program_B_C11,3,F,0,0
Student_0003,T2_Spring,Program_B_C14,3,F,0,0
Student_0003,T3_Fall,Program_B_C14,3,C,1,0
Student_0004,T1_Fall,Program_C_C01,3,F,0,0
Student_0004,T1_Fall,Program_C_C02,3,B,1,0
Student_0004,T1_Fall,Program_C_C04,4,C,1,0
Student_0004,T1_Fall,Program_C_C05,3,C,1,0
Student_0004,T2_Spring,Program_C_C08,4,B,1,0
Student_0004,T2_Spring,Program_C_C09,3,C,1,0
Student_0004,T2_Spring,Program_C_C12,4,B,1,0
Student_0004,T2_Spring,Program_C_C13,3,W,0,1
Student_0004,T3_Fall,Program_C_C13,3,C,1,0
Student_0004,T3_Fall,Program_C_C16,3,C,1,0
Student_0005,T1_Fall,Program_C_C01,3,B,1,0
Student_0005,T1_Fall,Program_C_C02,3,F,0,0
Student_0005,T2_Spring,Program_C_C02,3,C,1,0
Student_0005,T1_Fall,Program_C_C03,3,B,1,0
Student_0005,T1_Fall,Program_C_C04,4,C,1,0
Student_0006,T1_Fall,Program_B_C01,3,F,0,0
Student_0006,T1_Fall,Program_B_C02,3,C,1,0
Student_0006,T1_Fall,Program_B_C04,4,F,0,0
Student_0006,T2_Spring,Program_B_C04,4,C,1,0
Student_0006,T1_Fall,Program_B_C05,3,C,1,0
Student_0006,T2_Spring,Program_B_C08,4,F,0,0
Student_0006,T3_Fall,Program_B_C08,4,C,1,0
Student_0006,T2_Spring,Program_B_C09,3,B,1,0
Student_0006,T2_Spring,Program_B_C12,4,C,1,0
Student_0006,T2_Spring,Program_B_C13,3,C,1,0
Student_0006,T3_Fall,Program_B_C16,3,C,1,0
Student_0007,T1_Fall,Program_D_C01,3,C,1,0
Student_0007,T1_Fall,Program_D_C02,3,C,1,0
Student_0007,T1_Fall,Program_D_C03,3,B,1,0
Student_0007,T1_Fall,Program_D_C04,4,C,1,0
Student_0007,T2_Spring,Program_D_C05,3,C,1,0
Student_0008,T1_Fall,Program_D_C01,3,B,1,0
Student_0008,T1_Fall,Program_D_C02,3,B,1,0
Student_0008,T1_Fall,Program_D_C03,3,B,1,0
Student_0009,T1_Fall,Program_B_C01,3,B,1,0
Student_0009,T1_Fall,Program_B_C02,3,B,1,0
Student_0009,T1_Fall,Program_B_C03,3,B,1,0
Student_0009,T1_Fall,Program_B_C04,4,B,1,0
Student_0009,T2_Spring,Program_B_C05,3,B,1,0
Student_0010,T1_Fall,Program_D_C01,3,C,1,0
Student_0010,T1_Fall,Program_D_C02,3,W,0,1
Student_0010,T2_Spring,Program_D_C02,3,C,1,0
Student_0010,T1_Fall,Program_D_C03,3,C,1,0
Student_0010,T1_Fall,Program_D_C04,4,F,0,0
Student_0010,T2_Spring,Program_D_C04,4,C,1,0
Student_0010,T2_Spring,Program_D_C05,3,C,1,0
Student_0011,T1_Fall,Program_A_C01,3,A,1,0
Student_0011,T1_Fall,Program_A_C02,3,A,1,0
Student_0011,T1_Fall,Program_A_C03,3,B,1,0
Student_0011,T1_Fall,Program_A_C04,4,B,1,0
Student_0012,T1_Fall,Program_D_C01,3,C,1,0
Student_0012,T1_Fall,Program_D_C02,3,B,1,0
Student_0012,T1_Fall,Program_D_C03,3,C,1,0
Student_0012,T1_Fall,Program_D_C04,4,B,1,0
Student_0012,T2_Spring,Program_D_C05,3,C,1,0
Student_0012,T2_Spring,Program_D_C06,3,B,1,0
Student_0012,T2_Spring,Program_D_C07,3,C,1,0
Student_0013,T1_Fall,Program_B_C01,3,B,1,0
Student_0013,T1_Fall,Program_B_C02,3,D,1,0
Student_0013,T1_Fall,Program_B_C03,3,C,1,0
Student_0013,T1_Fall,Program_B_C04,4,F,0,0
Student_0013,T2_Spring,Program_B_C04,4,C,1,0
Student_0013,T2_Spring,Program_B_C05,3,C,1,0
Student_0013,T2_Spring,Program_B_C06,3,W,0,1
Student_0013,T3_Fall,Program_B_C06,3,C,1,0
Student_0013,T2_Spring,Program_B_C07,3,C,1,0
Student_0013,T2_Spring,Program_B_C08,4,C,1,0
Student_0013,T3_Fall,Program_B_C09,3,C,1,0
Student_0014,T1_Fall,Program_D_C01,3,W,0,1
Student_0014,T2_Spring,Program_D_C01,3,C,1,0
Student_0014,T1_Fall,Program_D_C02,3,F,0,0
Student_0014,T1_Fall,Program_D_C03,3,B,1,0
Student_0014,T1_Fall,Program_D_C06,3,C,1,0
Student_0015,T1_Fall,Program_A_C01,3,B,1,0
Student_0015,T1_Fall,Program_A_C02,3,B,1,0
Student_0015,T1_Fall,Program_A_C03,3,F,0,0
Student_0015,T2_Spring,Program_A_C03,3,F,0,0
Student_0015,T1_Fall,Program_A_C04,4,F,0,0
Student_0015,T2_Spring,Program_A_C05,3,W,0,1
Student_0016,T1_Fall,Program_B_C01,3,B,1,0
Student_0016,T1_Fall,Program_B_C02,3,F,0,0
Student_0016,T2_Spring,Program_B_C02,3,C,1,0
Student_0016,T1_Fall,Program_B_C03,3,B,1,0
Student_0016,T1_Fall,Program_B_C04,4,B,1,0
Student_0016,T2_Spring,Program_B_C05,3,B,1,0
Student_0016,T2_Spring,Program_B_C06,3,B,1,0
Student_0016,T2_Spring,Program_B_C07,3,F,0,0
Student_0016,T3_Fall,Program_B_C07,3,C,1,0
Student_0016,T2_Spring,Program_B_C08,4,B,1,0
Student_0017,T1_Fall,Program_D_C01,3,B,1,0
Student_0017,T1_Fall,Program_D_C02,3,C,1,0
Student_0017,T1_Fall,Program_D_C03,3,B,1,0
Student_0017,T1_Fall,Program_D_C04,4,C,1,0
Student_0017,T2_Spring,Program_D_C05,3,B,1,0
Student_0017,T2_Spring,Program_D_C06,3,C,1,0
Student_0018,T1_Fall,Program_B_C01,3,W,0,1
Student_0018,T2_Spring,Program_B_C01,3,F,0,0
Student_0018,T1_Fall,Program_B_C02,3,F,0,0
Student_0019,T1_Fall,Program_D_C01,3,W,0,1
Student_0019,T2_Spring,Program_D_C01,3,F,0,0
Student_0019,T1_Fall,Program_D_C02,3,F,0,0
Student_0020,T1_Fall,Program_B_C01,3,B,1,0
Student_0021,T1_Fall,Program_B_C01,3,C,1,0
Student_0021,T1_Fall,Program_B_C02,3,B,1,0
Student_0021,T1_Fall,Program_B_C03,3,C,1,0
Student_0021,T1_Fall,Program_B_C04,4,W,0,1
Student_0021,T2_Spring,Program_B_C04,4,C,1,0
Student_0021,T2_Spring,Program_B_C05,3,F,0,0
Student_0021,T3_Fall,Program_B_C05,3,F,0,0
Student_0021,T2_Spring,Program_B_C06,3,C,1,0
Student_0021,T2_Spring,Program_B_C07,3,B,1,0
Student_0021,T2_Spring,Program_B_C08,4,C,1,0
Student_0021,T3_Fall,Program_B_C10,3,D,1,0
Student_0021,T3_Fall,Program_B_C11,3,C,1,0
Student_0022,T1_Fall,Program_D_C01,3,B,1,0
Student_0022,T1_Fall,Program_D_C02,3,B,1,0
Student_0022,T1_Fall,Program_D_C03,3,A,1,0
Student_0022,T1_Fall,Program_D_C04,4,B,1,0
Student_0022,T2_Spring,Program_D_C05,3,A,1,0
Student_0022,T2_Spring,Program_D_C06,3,B,1,0
